gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
1,0.0,0,0,0.2361111111111111,1,0,0.0119402985074626,0.0404165705054235,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,1,1,0.6805555555555555,1,0,0.4328358208955224,0.346797830602354,0.0518294355868365,0.3460160493615374,0.2209455880816778,1.0,0.4654557771889976,0.2404003501831062,1.0,1.0,1.0,0.0672598310258884,0
1,0.0,1,0,0.3333333333333333,1,1,0.7064676616915423,0.2528732979459958,0.0518294355868365,1.0,0.2209455880816778,1.0,1.0,0.2404003501831062,1.0,0.854101706400886,1.0,1.0,0
1,0.0,0,0,0.4583333333333333,1,0,0.0208955223880596,0.0774232633279483,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125363733374977,0
0,0.0,0,0,0.4305555555555555,1,1,0.6129353233830845,0.2752538656819755,1.0000000000000009,1.0,1.0,1.0,1.0,0.2404003501831062,1.0,1.0,1.0,0.0,1
1,0.0,0,1,0.0,1,1,0.4343283582089552,0.1605642741749365,1.0000000000000009,0.3460160493615374,0.2209455880816778,0.430304216904169,1.0,0.2404003501831062,1.0,1.0,0.0,0.0672598310258884,0
0,0.0,0,0,0.8333333333333333,1,0,0.6199004975124378,0.5571486268174475,1.0000000000000009,0.3460160493615374,1.0,1.0,0.4654557771889976,0.2404003501831062,0.8911509063568168,0.854101706400886,0.2316683869435539,0.0,0
0,0.0,0,0,0.1805555555555555,0,0,0.108457711442786,0.0390433879529194,0.0,0.3460160493615374,1.0,0.430304216904169,1.0,1.0,1.0,1.0,1.0,1.0,0
1,0.0,0,0,0.6388888888888888,1,1,0.7626865671641792,0.5082102469420724,1.0000000000000009,1.0,1.0,0.430304216904169,0.4654557771889976,1.0,0.8911509063568168,1.0,0.2316683869435539,0.0,0
1,0.0,1,0,0.4027777777777777,1,1,0.6587064676616915,0.28251788599123,1.0000000000000009,1.0,0.2209455880816778,0.430304216904169,1.0,1.0,1.0,1.0,1.0,1.0,1
1,0.0,0,0,0.4027777777777777,0,0,0.172636815920398,0.121601661666282,0.0,0.3460160493615374,0.2209455880816778,1.0,1.0,0.2404003501831062,1.0,1.0,0.2316683869435539,0.1125363733374977,0
0,0.0,0,0,0.5416666666666666,1,1,0.618905472636816,0.3672686360489268,0.0518294355868365,1.0,1.0,1.0,0.4654557771889976,0.2404003501831062,1.0,1.0,0.0,1.0,1
0,0.0,0,0,0.2361111111111111,1,0,0.0144278606965173,0.0371047772905608,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0,0.0,0,1,0.0138888888888888,1,0,0.4074626865671642,0.0046618970690053,0.0518294355868365,0.3460160493615374,1.0,1.0,0.4654557771889976,1.0,1.0,0.854101706400886,1.0,1.0,1
1,0.0,1,1,0.1388888888888889,0,0,0.3527363184079601,0.0579506115855065,0.0,0.3460160493615374,0.2209455880816778,0.430304216904169,0.4654557771889976,0.2404003501831062,1.0,0.854101706400886,0.0,0.0,0
1,0.0,1,0,0.9722222222222222,1,0,0.6084577114427862,0.6358296792060928,1.0000000000000009,0.3460160493615374,0.2209455880816778,0.430304216904169,0.4654557771889976,0.2404003501831062,0.8911509063568168,1.0,0.2316683869435539,0.0672598310258884,0
0,0.0,1,0,0.7638888888888888,1,1,0.5920398009950248,0.512272097853681,1.0000000000000009,1.0,1.0,1.0,0.4654557771889976,1.0,1.0,1.0,1.0,1.0,1
1,0.0,0,0,0.0138888888888888,1,0,0.0283582089552238,0.0002654050311562,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1125363733374977,0
1,0.0,1,1,0.2638888888888889,1,0,0.0164179104477611,0.0391068543734133,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316683869435539,0.1125363733374977,0
1,0.0,1,1,0.986111111111111,1,1,0.5482587064676616,0.5926263558735287,0.0518294355868365,0.3460160493615374,1.0,0.430304216904169,1.0,0.2404003501831062,0.8911509063568168,0.854101706400886,0.0,0.0,0
0,0.0,1,1,0.0833333333333333,1,0,0.2711442786069651,0.0307408262174013,0.0518294355868365,0.3460160493615374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1125363733374977,0
0,0.0,1,1,0.3194444444444444,1,1,0.0731343283582089,0.0572294022617124,1.0000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1.0,0,0,0.3333333333333333,1,0,0.5149253731343283,0.197761366258943,0.0518294355868365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
0,0.0,1,0,0.1111111111111111,1,1,0.7164179104477612,0.0836545118855296,1.0000000000000009,1.0,1.0,1.0,1.0,0.2404003501831062,1.0,0.854101706400886,1.0,1.0,0
1,0.0,0,0,0.3333333333333333,1,1,0.7124378109452736,0.247663281790907,1.0000000000000009,1.0,1.0,1.0,0.4654557771889976,1.0,0.8911509063568168,1.0,1.0,0.1125363733374977,1
1,0.0,1,1,1.0,0,1,0.46318407960199,0.5424590353104085,0.0,0.3460160493615374,0.2209455880816778,0.430304216904169,0.4654557771889976,0.2404003501831062,0.8911509063568168,0.854101706400886,0.0,0.0,0
0,0.0,1,1,0.0972222222222222,1,0,0.3228855721393034,0.0382587122086314,0.0518294355868365,0.3460160493615374,0.2209455880816778,1.0,1.0,1.0,1.0,1.0,1.0,0.1125363733374977,0
0,1.0,0,0,0.0555555555555555,1,1,0.7024875621890546,0.0408089083775675,1.0000000000000009,1.0,1.0,1.0,0.4654557771889976,1.0,1.0,0.854101706400886,1.0,1.0,1
0,0.0,0,0,0.1805555555555555,1,1,0.6069651741293532,0.1261077775213478,0.0518294355868365,1.0,1.0,0.430304216904169,0.4654557771889976,1.0,1.0,1.0,1.0,1.0,1
1,0.0,0,1,0.1666666666666666,1,1,0.5134328358208955,0.0944726517424417,0.0518294355868365,0.3460160493615374,0.2209455880816778,1.0,1.0,1.0,0.8911509063568168,0.854101706400886,1.0,0.1125363733374977,0
1,0.0,0,0,0.6388888888888888,1,1,0.2681592039800995,0.2361354719593815,0.0518294355868365,0.3460160493615374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0
0,0.0,0,0,0.125,1,0,0.7965174129353233,0.104396492037849,1.0000000000000009,1.0,1.0,1.0,0.4654557771889976,1.0,0.8911509063568168,0.854101706400886,1.0,0.0,1
1,0.0,0,0,0.1527777777777777,0,1,0.1731343283582089,0.0468843757212093,0.0,0.3460160493615374,1.0,0.430304216904169,1.0,0.2404003501831062,1.0,1.0,1.0,1.0,0
1,0.0,0,0,0.736111111111111,1,0,0.0124378109452736,0.1190514654973459,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0,0,0.5277777777777778,1,1,0.7049751243781094,0.3834756519732287,0.0518294355868365,1.0,1.0,1.0,1.0,1.0,0.8911509063568168,0.854101706400886,0.2316683869435539,0.1125363733374977,0
0,0.0,0,1,0.3333333333333333,1,0,0.0149253731343283,0.0553081006231248,0.0518294355868365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125363733374977,0
1,0.0,1,1,0.125,1,1,0.8283582089552238,0.1024751903992614,0.0518294355868365,1.0,1.0,0.430304216904169,1.0,0.2404003501831062,0.8911509063568168,0.854101706400886,1.0,1.0,0
0,0.0,0,0,0.1944444444444444,1,1,0.7119402985074627,0.128121393953381,0.0518294355868365,1.0,1.0,1.0,1.0,1.0,0.8911509063568168,0.854101706400886,1.0,0.1125363733374977,1
